Title,Company,Location,Experience,Studies-level,Domain,Requirements,Contract,Links,Date
développeur informatique ,INT ASSISTANCE,Agadir,null,Bac plus 3,Informatique - Développement,"L'entreprise [int assistance] spécialisée dans [assistance] recherche pour son siège social un garçon et une fille.
tâches : développeur informatiquesous la responsabilité du chef de service, vous vous occuperez de système informatique ,métrisé java,PhP, application mobile,....
profil souhaité :titulaire bac+3. être résident dans les régions et les quartiers voisins, s’il habite loin du lieu de travail (lirak) il sera responsable des frais de transport ou avoir un moyen de transport, votre aisance relationnelle, votre dynamisme et votre polyvalence vous permettront d'être rapidement autonome.
*expérience au moine de 2ans.*stage 1 mois rémunéré d’un montant de 1000dh.
*contrat Anapec à durée déterminée du (6 mois).horaires de 44 heures par semaine, 8h par jour, 1 jour de repos par semaine.
*Merci de m'envoyer vous Cv*Le poste a agadir.",Anapec,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8789349/dÃ©veloppeur-informatique.html,22-09-2021
Chef de projet IT Junior ,SA,Casablanca,null,Bac plus 5,Commercial professionnels (B2B),"Nous recrutons pour le compte d'une grande SSII, un chef de projet de projet IT qui sera responsable du déploiement technique d’un projet – nouveau client à implémenter ou bien nouvelle activité d’un client existant (voire un changement complexe).Le pré-cadrage technique aura été effectué par l’avant-vente technique (équipe Business RelationshipManagement), qui livrera une Fiche d’Identification Projet décrivant ce cadrage.Le chef de projet technique lancera ensuite le chantier : prise de contact avec les directions de compte et deproduction concernées, et prise de contact avec l’équipe technique du client donneur d’ordre.Le chef de projet technique est garant du périmètre technique à livrer, ainsi que du planning de livraison.Il communique avec toutes les équipes internes et externes concernées.Profil recherché :Lauréat d'un Master, vous êtes autonome, dynamique et rigoureux. Vous justifiez de bonnes compétences organisationnelles et d'un bon sens relationnel.Vous justifiez également de connaissances en gestion de projets Techniques, administration réseau-système, téléphonie, architecturestechniques variées et environnement Windows.",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8654535/Chef-de-projet-IT-Junior.html,22-09-2021
INFOGRAPHISTE,Fournipro.ma,Casablanca,null,Bac plus 3,Informatique - Webdesign/Infographie,"Recrute un infographiste experimenté Diplomé(e) d’une école de renommée (Artcom, Comsup…)Expérience réussi de 4 ans ou plusSalaire motivant de 6000 - 7000 dh NetToute candidature non coforme à ces conditions sera rejetée",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8818139/INFOGRAPHISTE.html,22-09-2021
Stagiaire Développeur Web (Laravel/Vuejs),3WDEV,Rabat,null,Bac plus 4,Informatique - Développement,"Vous êtes motivé pour mettre vos compétences au service d’une entreprise digitale, on cherche un/une stagiaire en développement web (H/F)
Vous voulez nous rejoindre ?
Profil recherché :
- Connaissance des API REST
- HTML5 / CSS3 / JavaScript(JQUERY) / Bootstrap 4,
- Maîtrise du PHP/Laravel/Vuejs ;
- Connaissance des bases de données « MySQL » ;
- Autonome et rigoureux.
- Esprit du travail en équipe
Points clés :
-Début de la mission: le plutôt possible
-Type de contrat: Stage
-Lieu: Rabat",Stage,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8818032/Stagiaire-DÃ©veloppeur-Web-(LaravelVuejs).html,22-09-2021
Développeur magento/php,--,Casablanca,null,Bac plus 2,Informatique - Développement,"Poste à pourvoir immédiatement ! 

Nous recrutons pour un cabinet de conseil IT, un développeur Magento/php titulaire d'un bac +2/3 et ayant une première expérience dans un poste similaire.

Une solide connaissance de Magento et php est indispensable.
Un bon niveau de communication en français.
Une disponibilité immédiate.",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8817981/DÃ©veloppeur-magentophp.html,22-09-2021
Stage infographiste junior ,Marketpoke,Marrakech,null,Bac plus 2,Informatique - Webdesign/Infographie,"Nous cherchons un stagiaire infographiste . Vous assisterez notre équipe dans la conception de contenu de communication interne, campagnes B2B sur les différents canaux de communications : Linkedin, Twitter, Facebook, Youtube et siteweb.Compétences :- Maîtrise des outils Adobe ( illustrator , photoshop, in design )- Être Attentif à la performance de vos contenus créatifs, vous devrez maîtriser les best practices afin d'optimiser les conversions des contenus en leads.- Missions:- Concevoir les designs de nos postes et storys sur les réseaux sociaux (Facebook,, Linkedin, youtube, Twitter)- Être en charge des livrables de communication B2B- Concevoir ou adapter les supports de communication en fonction du besoin- Réaliser et décliner un contenu créatif 360(online et offline) (brochures, affiches...)- Réaliser et proposer des outils de communication print (Rapports, catalogues, flyers...)- Poste à pourvoir immédiatement.",Stage,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8692861/Stage-infographiste-junior.html,22-09-2021
Infographiste expérimenté,1Moment Parapharmacie,Casablanca,null,Bac plus 3,Informatique - Webdesign/Infographie,"La parapharmacie 1Moment recherche un infographiste avec une bonne maitrise de shopify. 
Vos missions :
-Création et mise à jour des maquettes communication.
-Effectuer la veille graphique.
-Création du contenu multimédia.
- Parfaite maitrise des logiciels de traitement et de création de l’image (adobe, photoshop, illustrateur).
- Compétences techniques liées aux sites e-commerce.",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8817861/Infographiste-expÃ©rimentÃ©.html,22-09-2021
Ingenieur Developpement Informatique Java / Python,Blue Code Dev,Casablanca,null,Bac plus 5,Informatique - Développement,"Ingenieur Developpement Informatique Java / Python<br>Ville : Casablanca<br>Profil Junior recherché<br><br>Ingénieur en développement informatiqueDe formation Bac +4/5 (ou équivalent)<br>MISSIONS<br>Au-delà du développement applicatif, en fonction de l’analyse des besoins des utilisateurs et de l’étude fonctionnelle, vous participez aux phases d’analyse, de conception, de développement et de tests, de maintenance corrective en respectant délais et normes de qualité définis dans un environnement orienté Objet.<br>Vous assurez le suivi et la planification des travaux confiés (développements, tests, mise en production) et vous êtes garant(e) de l’intégration des développements dans le système d’information.<br>COMPÉTENCES TECHNIQUES<br>JAVA sous Intellij<br>Python sous VSConnaissance JS / Angular JS<br>Hibernate.XML XSL<br>SGBD: Oracle, PostgreSQL, MySQLUn intérêt pour le domaine fonctionnel et des processus métiers sont un plus<br>COMPÉTENCES GÉNÉRALES<br>Important : Maîtrise de la lanque française est une absolue nécessité.<br>Compréhension des spécifications fonctionnelles<br>Conception, modélisation et architecture d'applicationsCapacité de partage des connaissances avec l’équipe<br>Anglais technique souhaitables<br>APTITUDES<br>Travail en équipe et autonomieGrande capacité d’organisation<br>Savoir communiquer avec des interlocuteurs internes de différentes activités (Support Client, Bureau d’étude, Dev, Business)Force d’analyse et de proposition<br>Capacité à comprendre un « écosystème » technique et d’apporter des améliorations et/ou des solutionsCapacité rédactionnelle<br>Organisation, méthodologie et rigueurConstructif et bienveillant <br><br>Important: Disponibilité Immediate",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8764929/Ingenieur-Developpement-Informatique-Java-Python.html,22-09-2021
Stagiaire ( fille) réseau et systéme d'information,confidentiel,Casablanca,null,Bac plus 2,Informatique - Systèmes/Réseaux,"Nous sommes à la recherche d'une Stagiaire Fille Bac+2 •	Formation réseaux et système d’information .si vous êtes intéressés ,veuillez nous envoyer votre CV",A discuter,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8817625/Stagiaire-(-fille)-rÃ©seau-et-systÃ©me-dinformation.html,22-09-2021
FULL STACK DÉVELOPPER- TANGER ,SAGE,Tanger,null,Bac plus 5,Informatique - Développement,"Nous cherchons:
3 développeurs PHP/Laravel ( pour un contrat CDI), dotés d’expérience de 3 ans minimum. Ayant les compétences techniques suivantes:
Excellente Maîtrise du Framework Laravel
SQL schema design, SOLID principles, and REST API design
Très bonne compréhension des outils de test unitaires et fonctionnelles(e.g. PHPUnit, PHPSpec, Behat, etc)
Bonne maîtrise de versionnement du code  GIT/GITHUB/GITLAB
Jira et  bitbucket
Expérience avec Postgresql
1 développeur Angular (pour un contrat CDI), doté d’expérience de 3 ans minimum. Ayant les compétences techniques suivantes:
Excellente Maîtrise du Framework Angular
Une expérience significative en programmation avec JavaScript,  ES5/ES6
Expérience avec Typescript
Maîtrise  des outils Redux, Webpack, Angular CLI and/or Gulp
REST APIs
TDD/BDD 
Experience en Client-side architecture et Design Patterns
Bonne maîtrise de versionnement du code  GIT/GITHUB/GITLAB",CDI,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/8817533/FULL-STACK-DÃVELOPPER-TANGER.html,22-09-2021
